"Record",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"RAN Engine: Service-Oriented RAN Through Containerized Micro-Services","R. Schmidt; N. Nikaein","Department of Communication Systems, EURECOM, Sophia-Antipolis, France; Department of Communication Systems, EURECOM, Sophia-Antipolis, France",IEEE Transactions on Network and Service Management,"10 Mar 2021","2021","18","1","469","481","Network slicing is considered to be the enabler for a coexistence of a multitude of services with heterogeneous requirements on a multi-tenant 5G infrastructure. In the core network, it has shown its potential in customizing and extending service-specific functionality beyond a mere configuration. In the radio access network (RAN) however, service customization and functionality extension remain a challenge due to the rigid and complex nature of the RAN and the fact that all services have to be mapped onto the scarce radio resources. In this article, we present the RAN service engine that allows services to customize and extend RAN functionality using containerized micro-services. This is achieved through micro-SDKs that abstract key RAN control endpoints, and which can then be used by the services to flexibly customize and extend the RAN in order to steer control plane behavior. Through these micro-SDKs, the engine can enforce isolation between services while multiplexing them efficiently onto the infrastructure. We also present a concrete implementation of the engine with its key micro-SDKs, and demonstrate the feasibility through a prototype for the MAC scheduling control endpoint, showing the versatility of the RAN engine.","1932-4537","","10.1109/TNSM.2021.3057642","European Union’s Horizon 2020 Framework Programme(grant numbers:857201 (5G-VICTORI),957317 (Affordable5G),101017226 (6GBRAINS)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9349762","5G;RAN;service;customization;extension;slicing;cloud-native","Radio access networks;Base stations;Virtualization;Cloud computing;5G mobile communication;Process control;Engines","","11","","38","IEEE","8 Feb 2021","","","IEEE","IEEE Journals"
"A cloud-based architecture for an interoperable, resilient, and scalable C2 information system","N. Bau; S. Endres; M. Gerz; F. Gökgöz","Information Technology for Command and Control, Fraunhofer FKIE, Wachtberg, Germany; Information Technology for Command and Control, Fraunhofer FKIE, Wachtberg, Germany; Information Technology for Command and Control, Fraunhofer FKIE, Wachtberg, Germany; Information Technology for Command and Control, Fraunhofer FKIE, Wachtberg, Germany",2018 International Conference on Military Communications and Information Systems (ICMCIS),"28 Jun 2018","2018","","","1","7","Recent advancements in Cloud Computing pave the way for a new generation of C2 Information Systems (C2IS) that provide better scalability and resilience and improved decision support through big data analytics and artificial intelligence. In this paper, we present a cloud-based system architecture for a C2IS. We explain how the cloud architecture ensures system functioning even when critical components fail temporarily. In our architecture, C2 data are not mapped onto a single data model and persisted in a central data store; instead, the design allows for a variety of distinct stores for different purposes and interoperability standards. The concepts have been implemented in a C2IS prototype at the Fraunhofer FKIE. We illustrate how semantically rich interoperability standards support a modeldriven development approach.","","978-1-5386-4559-8","10.1109/ICMCIS.2018.8398692","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8398692","C2 Information System;C2IS;Cloud Computing;Resilience;Scalability;Adaptability;Interoperability;Cloud-Native Design;Model-Driven Software Development;Model-Driven Architecture;MDA;MIP4-IES","Cloud computing;Resilience;Computer architecture;Standards;Scalability;Software as a service","","7","","26","IEEE","28 Jun 2018","","","IEEE","IEEE Conferences"
"Bighead: A Framework-Agnostic, End-to-End Machine Learning Platform","E. Brumbaugh; M. Bhushan; A. Cheong; M. G. -Q. Du; J. Feng; N. Handel; A. Hoh; J. Hone; B. Hunter; A. Kale; A. Luque; B. Nooraei; J. Park; K. Puttaswamy; K. Schiller; E. Shapiro; C. Shi; A. Siegel; N. Simha; M. Sbrocca; S. -J. Yao; P. Yoon; V. Zanoyan; X. -H. T. Zeng; Q. Zhu",Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.; Airbnb Inc.,2019 IEEE International Conference on Data Science and Advanced Analytics (DSAA),"23 Jan 2020","2019","","","551","560","With the increasing need to build systems and products powered by machine learning inside organizations, it is critical to have a platform that provides machine learning practitioners with a unified environment to easily prototype, deploy, and maintain their models at scale. However, due to the diversity of machine learning libraries, the inconsistency between environments, and various scalability requirement, there is no existing work to date that addresses all of these challenges. Here, we introduce Bighead, a framework-agnostic, end-to-end platform for machine learning. It offers a seamless user experience requiring only minimal efforts that span feature set management, prototyping, training, batch (offline) inference, real-time (online) inference, evaluation, and model lifecycle management. In contrast to existing platforms, it is designed to be highly versatile and extensible, and supports all major machine learning frameworks, rather than focusing on one particular framework. It ensures consistency across different environments and stages of the model lifecycle, as well as across data sources and transformations. It scales horizontally and elastically in response to the workload such as dataset size and throughput. Its components include a feature management framework, a model development toolkit, a lifecycle management service with UI, an offline training and inference engine, an online inference service, an interactive prototyping environment, and a Docker image customization tool. It is the first platform to offer a feature management component that is a general-purpose aggregation framework with lambda architecture and temporal joins. Bighead is deployed and widely adopted at Airbnb, and has enabled the data science and engineering teams to develop and deploy machine learning models in a timely and reliable manner. Bighead has shortened the time to deploy a new model from months to days, ensured the stability of the models in production, facilitated adoption of cutting-edge models, and enabled advanced machine learning based product features of the Airbnb platform. We present two use cases of productionizing models of computer vision and natural language processing.","","978-1-7281-4493-1","10.1109/DSAA.2019.00070","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8964147","end-to-end machine learning infrastructure;deep learning;automated feature engineering;lambda architecture;cloud native","","","6","","34","IEEE","23 Jan 2020","","","IEEE","IEEE Conferences"
"Blockchain and Smart Contracts for Telecommunications: Requirements vs. Cost Analysis","N. Afraz; F. Wilhelmi; H. Ahmadi; M. Ruffini","CONNECT Centre, School of Computer Science, University College Dublin, Dublin 4, Ireland; Radio Systems Research, Nokia Bell Labs, Stuttgart, Germany; School of Physics Engineering and Technology, University of York, York, U.K; CONNECT Centre, School of Computer Science and Statistics, Trinity College Dublin, Dublin 2, Ireland",IEEE Access,"8 Sep 2023","2023","11","","95653","95666","Blockchain technology offers solutions to numerous network problems by leveraging distributed record-keeping and collaborative decision-making features. However, deployment considerations such as blockchain infrastructure cost, performance requirements, and scalability are often overlooked. This paper provides an in-depth perspective on deploying blockchain-based solutions for telecommunications networks, estimating costs, comparing infrastructure options (on-premises, IaaS, BaaS), and choosing a suitable blockchain platform. To that end, we identify the performance limitations of the proposed solution under various deployment infrastructures by studying two prominent use cases: one proposing a distributed marketplace solution for 5G slice brokering and another one on the decentralization of federated learning (FL) through blockchain. For the slice brokering use case, our experiments showed that sub-second latency could be achieved for a maximum transaction throughput in the range of 10 to 200 transactions per second (TPS), whereas use cases requiring a higher throughput (300 to 400 TPS) would need more computational resources. Meanwhile, the FL use case provided insights into the achievable accuracy of distributed learning under various blockchain settings (public, consortium, and private), which led to the understanding that private and consortium blockchains can achieve acceptable accuracy in significantly lower training times compared to public blockchains.","2169-3536","","10.1109/ACCESS.2023.3309423","Irish Research Council(grant numbers:GOIPD/2020/333); Science Foundation Ireland(grant numbers:14/IA/252 (O’SHARE),13/RC/2077); Google Cloud; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10232988","5G network slicing;blockchain for telecom;blockchained federated learning;blockchain scalability;cloud-native distributed ledger;cost analysis;permissioned blockchain;smart contracts","Blockchains;Telecommunications;Costs;Ecosystems;5G mobile communication;Scalability;Consensus protocol;Federated learning;Cloud computing;Distributed ledger","","5","","62","CCBYNCND","28 Aug 2023","","","IEEE","IEEE Journals"
"gym-hpa: Efficient Auto-Scaling via Reinforcement Learning for Complex Microservice-based Applications in Kubernetes","J. Santos; T. Wauters; B. Volckaert; F. D. Turck","Department of Information Technology Technologiepark-Zwijnaarde 126, IDLab, Ghent University - imec, Gent, Belgium; Department of Information Technology Technologiepark-Zwijnaarde 126, IDLab, Ghent University - imec, Gent, Belgium; Department of Information Technology Technologiepark-Zwijnaarde 126, IDLab, Ghent University - imec, Gent, Belgium; Department of Information Technology Technologiepark-Zwijnaarde 126, IDLab, Ghent University - imec, Gent, Belgium",NOMS 2023-2023 IEEE/IFIP Network Operations and Management Symposium,"21 Jun 2023","2023","","","1","9","Containers have revolutionized application deployment and life-cycle management in current cloud platforms. Applications have evolved from large monoliths to complex graphs of loosely-coupled microservices aiming to improve deployment flexibility and operational efficiency. However, modern microservice-based architectures are challenging since proper allocation and scaling of microservices is a difficult task due to their complex inter-dependencies. Existing works do not consider microservice dependencies, which could lead to the application’s performance degradation when service demand increases. This paper studies the impact of microservice interdependencies in auto-scaling mechanisms by proposing a novel framework named gym-hpa that enables different auto-scaling goals via Reinforcement Learning (RL). The framework has been developed based on the OpenAI Gym library for the popular Kubernetes (K8s) platform to bridge the gap between RL and auto-scaling research by training RL agents on real cloud environments. The aim is to improve resource usage and reduce the application’s response time in future cloud platforms by considering microservice inter-dependencies in horizontal scaling. Experiments with microservice benchmark applications show that RL agents trained with the gym-hpa framework can reduce on average resource usage by 30% and reduce the application’s response time by 25% compared to default scaling mechanisms.","2374-9709","978-1-6654-7716-1","10.1109/NOMS56928.2023.10154298","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10154298","Auto-scaling;Containers;Cloud-native;Microservices;Orchestration;Reinforcement Learning;Kubernetes","Training;Degradation;Microservice architectures;Reinforcement learning;Containers;Benchmark testing;Libraries","","5","","48","IEEE","21 Jun 2023","","","IEEE","IEEE Conferences"
"Orchestrating Virtualized Core Network Migration in OpenROADM SDN-Enabled Network","S. Ramanathan; K. Kondepu; T. Zhang; B. Mirkhanzadeh; M. Razo; M. Tacca; L. Valcarenghi; A. Fumagalli","Open Network Advanced Research lab, The University of Texas at Dallas; Indian Institute of Technology Dharwad, Dharwad, India; Open Network Advanced Research lab, The University of Texas at Dallas; Open Network Advanced Research lab, The University of Texas at Dallas; Open Network Advanced Research lab, The University of Texas at Dallas; Open Network Advanced Research lab, The University of Texas at Dallas; Scuola Superiore Sant’Anna, Pisa, Italy; Open Network Advanced Research lab, The University of Texas at Dallas",2021 International Conference on Optical Network Design and Modeling (ONDM),"26 Jul 2021","2021","","","1","6","Optical network technology is one of the leading candidates for meeting the required backhaul transport layer latency and capacity requirements of 5G services. In addition, its physical layer programmability supports the execution of advanced methods that can improve 5G service reliability and SLA compliance in the face of equipment failure. While a number of such methods is addressed in the literature, including Virtual Network Function (VNF) fault-tolerant methods, a full proof of concept is yet to be reported.The study in this paper describes a testbed - along with its Software Defined Networking (SDN) and Network Function Virtualization (NFV) capabilities - which is used to experimentally showcase the key functionalities that are required by VNF fault-tolerant methods. The testbed makes use of OpenROADM compliant Dense Wavelength Division Multiplexing (DWDM) equipment to implement the programmable backhaul of a Next Generation Radio Access Network (NG-RAN) Non-standalone (NSA) architecture running 4G Evolved Packet Core (EPC) with the 5G next-generation NodeB (gNB). Specifically, the testbed is used to showcase the live migration of virtualized EPC components that is required to restore pre-failure VNF.","","978-3-9031-7633-1","10.23919/ONDM51796.2021.9492500","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9492500","Virtual EPC;Cloud-Native;Container;VM;OpenROADM;Live Migration","Optical fibers;5G mobile communication;Fault tolerant systems;Optical fiber networks;Wavelength division multiplexing;Physical layer;Network function virtualization","","3","","25","","26 Jul 2021","","","IEEE","IEEE Conferences"
"Serverless: From Bad Practices to Good Solutions","D. Taibi; B. Kehoe; D. Poccia","CloudSEA.AI Group, Tampere University, Tampere, Finland; IRobot, New York, United States; Amazon Web Services, London, Great Britain",2022 IEEE International Conference on Service-Oriented System Engineering (SOSE),"13 Oct 2022","2022","","","85","92","Serverless computing is increasing its popularity in the industry. However, practitioners still have issues when using it, also because serverless bad practices, bad smells, and anti-patterns have not been deeply investigated. In this work, we identify the main bad practices experienced by practitioners during the development of serverless-based applications. We interviewed 91 experienced practitioners and we performed a focus group to analyze the solutions they adopted to solve the issues generated by the bad practice. Moreover, we propose the most appropriate solutions based on our professional experience. The results can be helpful to other practitioners to avoid facing the same issues, to understand how to overcome them, and to researchers that can better validate them and propose alternative solutions.","2642-6587","978-1-6654-7534-1","10.1109/SOSE55356.2022.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9912641","Microservices;serverless;function-as-a-service;cloud-native;anti-patterns;bad smells","Industries;Codes;Service-oriented systems engineering;Microservice architectures;Serverless computing;Computer architecture;Guidelines","","3","","23","IEEE","13 Oct 2022","","","IEEE","IEEE Conferences"
"Service-based RAN: the next phase of cloud RAN","N. Li; G. Liu; H. Zhang; J. Sun; Q. Zhao; Y. Zhao; Z. Tong","Future Mobile Technology Lab, China Mobile Research Institute, Beijing, China; Future Mobile Technology Lab, China Mobile Research Institute, Beijing, China; Future Mobile Technology Lab, China Mobile Research Institute, Beijing, China; Future Mobile Technology Lab, China Mobile Research Institute, Beijing, China; Future Mobile Technology Lab, China Mobile Research Institute, Beijing, China; Future Mobile Technology Lab, China Mobile Research Institute, Beijing, China; Future Mobile Technology Lab, China Mobile Research Institute, Beijing, China",2022 IEEE Globecom Workshops (GC Wkshps),"12 Jan 2023","2022","","","1206","1211","The convergence of information, communication and data technologies (ICDT) is one of the driving forces of the sixth generation (6G) network. As a typical application of ICDT convergence in the fifth generation (5G) network, the service-based architecture (SBA) has been effectively verified by its large-scale commercial deployment, and the problems are also being gradually solved. At present, the service-based concept has only been applied to the control plane (CP) of core network (CN), and its application on the user plane (UP) of CN is being studied in the industry. For 6G, the service-based radio access network (RAN) should also be put on the agenda to solve problems such as the complexity of interface design, and the long cycle of version upgrades. This paper firstly introduces the driving forces and design principles of service-based RAN. Then it proposes a possible service-based design together with technical advantages. The simulation result finally demonstrates the performance in terms of parallel processing.","","978-1-6654-5975-4","10.1109/GCWkshps56602.2022.10008666","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10008666","6G;service-based RAN;cloud native","6G mobile communication;Industries;5G mobile communication;Simulation;Conferences;Parallel processing;Complexity theory","","2","","8","IEEE","12 Jan 2023","","","IEEE","IEEE Conferences"
"Implementation of 5G Experimentation Environment for Accelerated Development of Mobile Media Services and Network Applications","H. Khalili; S. Kahvazadeh; J. F. Pajo; R. Frizzell; A. Castelli; M. Tolan; I. Markopoulos; R. Ribback; E. Erikstad; D. Nicholon; K. Ramantas; L. Christofi; C. Verikoukis","Centre Tecnològic de Telecomunicacions de Catalunya (CTTC), Barcelona, Spain; Centre Tecnològic de Telecomunicacions de Catalunya (CTTC), Barcelona, Spain; Telenor Research, Fornebu, Norway; Inlecom Commercial Pathways (ICP), Dublin, Ireland; Brainstorm Multimedia, Madrid, Spain; Walton Institute, South East Technological University (SETU), Waterford, Ireland; NOVA, Athens, Greece; Swiss TXT, Biel Bienne, Switzerland; Norigin Media AS, Oslo, Norway; EKTACOM, Les Ulis, France; Iquadrat Informatica, Barcelona, Spain; eBOS Technologies Ltd, Lakatamia, Cyprus; Iquadrat Informatica, Barcelona, Spain","2023 26th Conference on Innovation in Clouds, Internet and Networks and Workshops (ICIN)","22 Mar 2023","2023","","","153","160","5G network technology can offer major benefits to the Media & Entertainment (M&E) sector in addressing the challenges associated with production and delivery of mobile, IP-driven media services, such as smart media production, 4K/8k video streaming, and live virtual reality. The massive growth in demand for such advanced services has created the need for innovative experimentation facilities. These can support the M&E industry in continually enhancing user experience and creating efficiencies in how content is produced and delivered across mobile networks. Such support is the core goal of the H2020-funded 5GMediaHUB project, which aims to accelerate the testing and validation of innovative 5G-enabled media applications and Network Applications, through an open, integrated and fully featured experimentation facility. This will significantly reduce the service creation lifecycle and minimise time-to-market, thus enhancing the competitiveness of facility users. 5GMediaHUB will create an elastic, secure and trusted multi-tenant service execution and Network Application development environment, based on an open, cloud-based architecture and APIs. The project will integrate this testing and validation system with two well-established 5G testbeds at CTTC, Spain and Telenor, Norway. In this article, we first introduce the key features of the 5GMediaHUB experimentation facility. These features ensure effective operation of advanced media applications over 5G, and support developers in minimising application performance uncertainties prior to widescale commercial deployment. Next, the deployment and implementation of the 5GMediaHUB infrastructure is presented, before the deployment and validation of the project’s use cases are discussed. These use cases will explore the topics of Interactive Media, Content Creation and Media Distribution, all enabled through advanced 5G connectivity.","2472-8144","979-8-3503-9804-5","10.1109/ICIN56760.2023.10073512","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10073512","5G;Cloud-Native;Testbeds;Experimentation tools;Network Applications;Media services","Cloud computing;Technological innovation;Uncertainty;5G mobile communication;Production;Life estimation;Virtual reality","","1","","13","IEEE","22 Mar 2023","","","IEEE","IEEE Conferences"
"Re-Factored Operational Support Systems for the Next Generation Platform-as-a-Service (NGPaaS)","P. Veitch; A. Broadbent; S. V. Rossem; B. Sayadi; L. Natarianni; B. Al Jammal; L. Roullet; A. Mimidis; E. Ollora; J. Soler; S. Pinniterre; M. Paolino; A. Ramos; X. Du; M. Flouris; L. Mariani; O. Riganelli; M. Mobilio; A. Shatnawi; M. Orru; M. Zembra",BT; BT; Ghent University-imec; Nokia Bell-Labs France; Nokia Bell-Labs France; Nokia Bell-Labs France; Nokia Bell-Labs France; DTU Fotonik; DTU Fotonik; DTU Fotonik; Virtual Open Systems; Virtual Open Systems; ATOS; OnApp; OnApp; Unimib; Unimib; Unimib; Unimib; Unimib; VM2M,2018 IEEE 5G World Forum (5GWF),"1 Nov 2018","2018","","","1","5","Platform-As-A-Service (PaaS) systems offer customers a rich environment in which to build, deploy, and run applications. Today's PaaS offerings are tailored mainly to the needs of web and mobile applications developers, and involve a fairly rigid stack of components and features. The vision of the H2020 5GPPP Phase 2 Next Generation Platform-as-a-Service (NGPaaS) project is to enable ""build-to-order"" customized PaaSes, tailored to the needs of a wide range of use cases with telco-grade 5G characteristics. This paper sets out the salient and innovative features of NGPaaS and explores the impacts on Operational Support Systems and Business Support Systems (OSS/BSS), moving from fixed centralized stacks to a much more flexible and modular distributed architecture.","","978-1-5386-4982-4","10.1109/5GWF.2018.8516995","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8516995","5G;PaaS;BSS;OSS;Cloud Native;Microservices","Cloud computing;Business;Monitoring;5G mobile communication;Computer architecture;Marine vehicles;Virtual machine monitors","","1","","8","IEEE","1 Nov 2018","","","IEEE","IEEE Conferences"
"Theta-Scan: Leveraging Behavior-Driven Forecasting for Vertical Auto-Scaling in Container Cloud","J. L. Berral; D. Buchaca; C. Herron; C. Wang; A. Youssef","Barcelona Supercomputing Center, Universitat Politécnica de Catalunya; Barcelona Supercomputing Center, Universitat Politécnica de Catalunya; Universitat Pompeu Fabra; IBM Research, Yorktown Heights, NY; IBM Research, Yorktown Heights, NY",2021 IEEE 14th International Conference on Cloud Computing (CLOUD),"8 Nov 2021","2021","","","404","409","Detection of behavior patterns on resource usage in containerized Cloud applications is necessary for proper resource provisioning. Applications can use CPU/Memory with repetitive patterns, following a trend over time independently. By identifying such patterns, resource forecasting models can be fit better, reducing over/under-provisioning via fewer resizing operations. Here we present ThetaScan, a time-series analysis method for vertical auto-scaling of containers in the Cloud, based on the detection of stationarity/trending and periodicity on resource consumption. Our method leverages the Theta Forecaster algorithm with deseasonalization that, in our provisioning scenario, only requires the estimated periodicity for resource consumption as principal hyper-parameter. Commonly used behavior detection methods require manual hyper-parameter tuning, making them infeasible for automation. Besides, it can be used at multi-scales (minute/hour/day), detecting hourly and daily patterns to improve resource usage prediction. Experiments show that we can detect behaviors in resource consumption that common methods miss, without requiring extensive manual tuning. We can reduce the resizing triggers compared to fixed-size scheduling around ~ 10% – 15%, reduce over-provisioning of CPU and Memory through periodic-based provisioning. Also a ~ 60% on multiscale resource forecasting for traces showing periodicity at different levels in respect to single-scale.","2159-6190","978-1-6654-0060-2","10.1109/CLOUD53861.2021.00054","Generalitat de Catalunya(grant numbers:2014-SGR-1051); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582179","Cloud Native;Machine Learning;Container;Auto-scaling;Stationarity Detection;Periodicity Detection;Time series Forecasting;Theta Forecaster","Cloud computing;Time series analysis;Manuals;Machine learning;Containers;Predictive models;Prediction algorithms","","1","","15","IEEE","8 Nov 2021","","","IEEE","IEEE Conferences"
"Cloud load balancing: Blockchain deployment at integrated DopCloud synthesis on Healthcare data","S. Srinivasan","Department of Electronics and Communication, Presidency University, Bangalore, India",2020 Third International Conference on Smart Systems and Inventive Technology (ICSSIT),"6 Oct 2020","2020","","","364","369","The newer transformations happen on every fold at outsourcing load balancing in the cloud has taken a steep situation. The deploying blocks using the design of distribution record amongst all the servers in finding the deeper route to release the data in time consent format without disturbing the working background modules of the record basis at state machine and all the external information can be inserted and assessed. Cloud load balancing is the distribution between the workloads and computational resources manageably allowing workload demands into the enterprise environment by allocating in different servers or networks or computers. The DopCloud procedure are discussed by analyzing and implementing the dynamic optimization of packet flow routing on the cloud through the hardest deployment of huge data load to balance by consuming VNF and transition minute stack layers. Every deployment face synthesis on changing servers along with the client codes to infuse the variant trustworthy between load balancing and cloud backup timeline on the stipulated time. In Healthcare it began with the data losses when EHR has to stop to take its place for the data storage abruption, the changes made available for the data load of the patient's diagnosis are mantled over a group of stacks to control the cloud network. Here, the RIFT and VNF cloud provides richer protocol with a level of certainty and promising to the big data load to be secure by the algorithm made. Mostly, planning's of the state machine over containerization is to be deposited onto the packet flowing route optimization (DOPER) and the communication is kept out of reach when the contracts made are available to every peer node in the DopCloud.","","978-1-7281-5821-1","10.1109/ICSSIT48917.2020.9214084","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9214084","Blockchain;cloud computing;distributed consensus;cloud load balancing;DopCloud;proof-of-stake;containerization;cloud native VNF;data repository;RIFT protocol;DOPER","Cloud computing;Servers;Load management;Medical services;Peer-to-peer computing;Industries","","1","","24","IEEE","6 Oct 2020","","","IEEE","IEEE Conferences"
"K8sES: Optimizing Kubernetes with Enhanced Storage Service-Level Objectives","H. Wen; Z. Cao; B. Li; D. H. C. Du; A. Abouelwafa; D. Voigt; S. Liu; J. Diehl; F. Wu","University of Minnesota, Twin Cities; Arizona State University; University of Texas at Dallas; University of Minnesota, Twin Cities; Hewlett Packard Enterprise; Hewlett Packard Enterprise; University of Minnesota, Twin Cities; University of Minnesota, Twin Cities; University of Minnesota, Twin Cities",2023 IEEE 41st International Conference on Computer Design (ICCD),"22 Dec 2023","2023","","","214","222","Kubernetes (k8s) is a system for managing containerized applications across multiple hosts. It offers automatic deployment, maintenance, scaling, and resource management for applications. Applications in k8s usually have different storage requirements in the form of service-level objectives (SLOs). However, the current k8s storage management has several limitations which cause explicit performance and cost overhead. K8s administrators have to configure storage in advance manually, and users must know configurations and capabilities of provided storage. Users' storage SLOs can be easily violated in k8s.In this paper, we design and implement k8s Enhanced Storage (k8sES) which efficiently supports applications with various storage SLOs along with all other requirements in the Kubernetes environment. We design and incorporate storage scheduling as part of the node scheduling process in k8s. Applications will be scheduled onto the correct nodes and storage without intervention from either users or administrators. Proper storage resources will be dynamically carved based on users' storage SLOs. In addition, we provide a tool to monitor the I/O activities of both applications and storage devices in k8sES. The evaluation shows that k8sES can better meet users' storage SLOs along with other requirements. Also, k8sES can achieve higher resource utilization efficiency with overhead similar to that of the current k8s.","2576-6996","979-8-3503-4291-8","10.1109/ICCD58817.2023.00041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10360961","Kubernetes;Containers;Cloud Native;Storage","Schedules;Costs;Processor scheduling;Storage management;Maintenance engineering;Resource management;Monitoring","","","","40","IEEE","22 Dec 2023","","","IEEE","IEEE Conferences"
"ImpactTracer: Root Cause Localization in Microservices Based on Fault Propagation Modeling","R. Xie; J. Yang; J. Li; L. Wang","Chinese Academy of Sciences, Institute of Information Engineering, Beijing, China; Chinese Academy of Sciences, Institute of Information Engineering, Beijing, China; Chinese Academy of Sciences, Institute of Information Engineering, Beijing, China; Chinese Academy of Sciences, Institute of Information Engineering, Beijing, China","2023 Design, Automation & Test in Europe Conference & Exhibition (DATE)","2 Jun 2023","2023","","","1","6","Microservice architecture is embraced by a growing number of enterprises due to the benefits of modularity and flexibility. However, being composed of numerous interdependent microservices, it is prone to cascading failures and afflicted by the arising problem of troubleshooting, which entails arduous efforts to identify the root cause node and ensure service availability. Previous works use call graph to characterize causality relation-ships of microservices but not completely or comprehensively, leading to an insufficient search of potential root cause nodes and consequently poor accuracy in culprit localization. In this paper, we propose ImpactTracer to address the above problems. ImpactTracer builds impact graph to provide a com-plete view of fault propagation in microservices and uses a novel backward tracing algorithm that exhaustively traverses the impact graph to identify the root cause node accurately. Extensive experiments on a real-world dataset demonstrate that ImpactTracer is effective in identifying the root cause node and outperforms the state-of-the-art methods by at least 72%, significantly facilitating troubleshooting in microservices.","1558-1101","979-8-3503-9624-9","10.23919/DATE56975.2023.10137078","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10137078","microservice;cloud-native;dependability;fault modeling;root cause identification","Location awareness;Fault diagnosis;Adaptation models;Power system protection;Microservice architectures;Forestry;Search problems","","","","17","","2 Jun 2023","","","IEEE","IEEE Conferences"
